execution_order,step,run_id,experiment_id,seed,model,training_corruption,comparison_purpose,prerequisite,max_epochs,batch_size,learning_rate,evaluation_views,output_directory,status,actual_best_epoch,actual_duration_seconds,failure_reason
1,E07,B3_seed42,B3,42,三模态均值拼接MLP,无,完整训练的简单多模态基线,E04通过,60,32,0.0001,完整+90主网格+15TAV+9异步=115；训练后E09执行,runs/B3/seed_42/,PLANNED,,,
2,E07,B4_seed42,B4,42,三模态均值拼接MLP,30%原始+60%局部+10%整模态,与B3比较缺失训练收益,E04通过,60,32,0.0001,完整+90主网格+15TAV+9异步=115；训练后E09执行,runs/B4/seed_42/,PLANNED,,,
3,E07,M0_seed42,M0,42,动态融合加时间模型,无,与M1形成同结构对照,E04通过,60,32,0.0001,完整+90主网格+15TAV+9异步=115；训练后E09执行,runs/M0/seed_42/,PLANNED,,,
4,E07,M1_seed42,M1,42,动态融合加时间模型,30%原始+60%局部+10%整模态,与M0/B4/B5比较,E04通过,60,32,0.0001,完整+90主网格+15TAV+9异步=115；训练后E09执行,runs/M1/seed_42/,PLANNED,,,
5,E07,B5_seed42,B5,42,等权融合加时间模型,30%原始+60%局部+10%整模态,与M1比较动态权重收益,E04通过,60,32,0.0001,完整+90主网格+15TAV+9异步=115；训练后E09执行,runs/B5/seed_42/,PLANNED,,,
6,E07,B0_seed42,B0,42,Text-only,无,文本信息基础,E04通过,60,32,0.0001,完整+90主网格+15TAV+9异步=115；训练后E09执行,runs/B0/seed_42/,PLANNED,,,
7,E07,B1_seed42,B1,42,Audio-only,无,声学信息基础,E04通过,60,32,0.0001,完整+90主网格+15TAV+9异步=115；训练后E09执行,runs/B1/seed_42/,PLANNED,,,
8,E07,B2_seed42,B2,42,Vision-only,无,视觉信息基础,E04通过,60,32,0.0001,完整+90主网格+15TAV+9异步=115；训练后E09执行,runs/B2/seed_42/,PLANNED,,,
9,E08,B3_seed17,B3,17,三模态均值拼接MLP,无,完整训练的简单多模态基线,E04通过；seed42首轮无未解决正确性问题,60,32,0.0001,完整+90主网格+15TAV+9异步=115；训练后E09执行,runs/B3/seed_17/,PLANNED,,,
10,E08,B4_seed17,B4,17,三模态均值拼接MLP,30%原始+60%局部+10%整模态,与B3比较缺失训练收益,E04通过；seed42首轮无未解决正确性问题,60,32,0.0001,完整+90主网格+15TAV+9异步=115；训练后E09执行,runs/B4/seed_17/,PLANNED,,,
11,E08,M0_seed17,M0,17,动态融合加时间模型,无,与M1形成同结构对照,E04通过；seed42首轮无未解决正确性问题,60,32,0.0001,完整+90主网格+15TAV+9异步=115；训练后E09执行,runs/M0/seed_17/,PLANNED,,,
12,E08,M1_seed17,M1,17,动态融合加时间模型,30%原始+60%局部+10%整模态,与M0/B4/B5比较,E04通过；seed42首轮无未解决正确性问题,60,32,0.0001,完整+90主网格+15TAV+9异步=115；训练后E09执行,runs/M1/seed_17/,PLANNED,,,
13,E08,B5_seed17,B5,17,等权融合加时间模型,30%原始+60%局部+10%整模态,与M1比较动态权重收益,E04通过；seed42首轮无未解决正确性问题,60,32,0.0001,完整+90主网格+15TAV+9异步=115；训练后E09执行,runs/B5/seed_17/,PLANNED,,,
14,E08,B0_seed17,B0,17,Text-only,无,文本信息基础,E04通过；seed42首轮无未解决正确性问题,60,32,0.0001,完整+90主网格+15TAV+9异步=115；训练后E09执行,runs/B0/seed_17/,PLANNED,,,
15,E08,B1_seed17,B1,17,Audio-only,无,声学信息基础,E04通过；seed42首轮无未解决正确性问题,60,32,0.0001,完整+90主网格+15TAV+9异步=115；训练后E09执行,runs/B1/seed_17/,PLANNED,,,
16,E08,B2_seed17,B2,17,Vision-only,无,视觉信息基础,E04通过；seed42首轮无未解决正确性问题,60,32,0.0001,完整+90主网格+15TAV+9异步=115；训练后E09执行,runs/B2/seed_17/,PLANNED,,,
17,E08,B3_seed2026,B3,2026,三模态均值拼接MLP,无,完整训练的简单多模态基线,E04通过；seed42首轮无未解决正确性问题,60,32,0.0001,完整+90主网格+15TAV+9异步=115；训练后E09执行,runs/B3/seed_2026/,PLANNED,,,
18,E08,B4_seed2026,B4,2026,三模态均值拼接MLP,30%原始+60%局部+10%整模态,与B3比较缺失训练收益,E04通过；seed42首轮无未解决正确性问题,60,32,0.0001,完整+90主网格+15TAV+9异步=115；训练后E09执行,runs/B4/seed_2026/,PLANNED,,,
19,E08,M0_seed2026,M0,2026,动态融合加时间模型,无,与M1形成同结构对照,E04通过；seed42首轮无未解决正确性问题,60,32,0.0001,完整+90主网格+15TAV+9异步=115；训练后E09执行,runs/M0/seed_2026/,PLANNED,,,
20,E08,M1_seed2026,M1,2026,动态融合加时间模型,30%原始+60%局部+10%整模态,与M0/B4/B5比较,E04通过；seed42首轮无未解决正确性问题,60,32,0.0001,完整+90主网格+15TAV+9异步=115；训练后E09执行,runs/M1/seed_2026/,PLANNED,,,
21,E08,B5_seed2026,B5,2026,等权融合加时间模型,30%原始+60%局部+10%整模态,与M1比较动态权重收益,E04通过；seed42首轮无未解决正确性问题,60,32,0.0001,完整+90主网格+15TAV+9异步=115；训练后E09执行,runs/B5/seed_2026/,PLANNED,,,
22,E08,B0_seed2026,B0,2026,Text-only,无,文本信息基础,E04通过；seed42首轮无未解决正确性问题,60,32,0.0001,完整+90主网格+15TAV+9异步=115；训练后E09执行,runs/B0/seed_2026/,PLANNED,,,
23,E08,B1_seed2026,B1,2026,Audio-only,无,声学信息基础,E04通过；seed42首轮无未解决正确性问题,60,32,0.0001,完整+90主网格+15TAV+9异步=115；训练后E09执行,runs/B1/seed_2026/,PLANNED,,,
24,E08,B2_seed2026,B2,2026,Vision-only,无,视觉信息基础,E04通过；seed42首轮无未解决正确性问题,60,32,0.0001,完整+90主网格+15TAV+9异步=115；训练后E09执行,runs/B2/seed_2026/,PLANNED,,,
